feature_name,type,dtype,preprocessor,is_serving_feature,is_campaign_feature,disabled,train_only,load_to_network,max_clip,preprocess_fn,notes
uups_adrev_oecpm_interstitial_total_count_d30,scalar,float,ScalarPreprocessor,true,false,false,,,,normalize,
uups_adrev_oecpm_interstitial_total_sum_d30,scalar,float,ScalarPreprocessor,true,false,false,,,,normalize,
ad_req_project_id,ibt,string,None,true,false,false,,false,,,
ad_req_counts,ibt,int,None,true,false,false,,false,,,
ibt_embedding,tf_embedding,float,TFEmbeddingPreprocessor,,false,false,,,,,"embedding_size=128"
tgtg_sdk_set,categorical,string,SdkSetPreprocessor,false,true,false,,,,,
sdk_event_name,categorical,string,None,true,true,false,,false,,,
prob_sdk_event_name_array,sdk_event_name,string,None,,true,false,true,false,,,
prob_sdk_event_name_labels,sdk_event_name,float,None,,true,false,true,false,,,
installed_store_ids,ibt,string,None,true,false,false,,false,,,
installed_store_ids_latest_start_ts,ibt,int,None,true,false,false,,false,,,
install_ibt_embedding,tf_embedding,float,TFEmbeddingPreprocessor,,false,false,,,,,"embedding_size=80"
